lid,zd,vdatum,lat,lon,elev
BGCQ9,,,60.158333,129.702778,2800
BGMQ9,,,62.568611111111,137.01611111111,2900
BGPA2,,,61.54,149.82,120
BGQA2,,,61.526388888889,149.87972222222,175
BHFA2,,,61.216666666667,151.13333333333,130
BLAA2,,,57.179166666667,157.27805555556,175
BLCA2,,,58.406666666667,152.88638888889,75
BLGA2,0,,61.172222222222,151.04361111111,130
BLIA2,0,,60.84,146.88,0
BLOA2,,,56.41424,158.941542,66
BLSA2,,,61.9375,150.9875,150
BLUA2,,,62.8,149.98333333333,1200
PASY,,,52.716666666667,174.11666666667,97
BNZA2,,NGVD29,61.494166666667,142.88166666667,2450
BOKA2,,,58.55,155.78333333333,150
BRGA2,,,59.733333333333,151.46666666667,1300
BRIA2,0,,59.76,150.839722,1080
BRKA2,,NGVD29,59.824444,154.882222,250
BRMA2,,NGVD29,59.778333,150.754167,2300
BRNA2,,,59.798333333333,150.86333333333,225
BRRA2,1054.16,NGVD29,59.758333333333,150.85055555556,1054.2
BRTA2,,NGVD29,59.801667,150.882778,25
BRUA2,,NGVD29,59.700556,150.7025,1250
BTCA2,,,61.166666666667,151.63333333333,0
BTLA2,0,,57.266666666667,154.565,171
BUPA2,,,61.55,149.03,130
BUSA2,,,57.758333333333,152.51305555556,60
CAMA2,0,,61.178888888889,149.83722222222,0
CBBA2,,,62.6125,144.61555555556,1945
CBHA2,,,60.541944444444,145.76638888889,20
CBKA2,,,61.158611111111,149.79666666667,157
CCPA2,,,59.704444,153.71,420
CCRA2,,NGVD29,61.838888888889,147.40861111111,3300
CCSA2,18.04,NGVD29,61.139444,149.923333,18
CCTA2,,,61.525556,144.412222,476
CDPA2,,,61.160555555556,149.80722222222,201
CDVA2,,,60.556111111111,145.75305555556,25
CGAA2,,,61.066666666667,152.43333333333,500
CGKA2,,,61.423055555556,149.44472222222,113
CGMA2,,,60.224722222222,153.4675,4658
CHCA2,,,57.729444444444,153.9325,69
CHEA2,,,61.333333333333,149.75,15
CHGA2,,,56.397222222222,158.93694444444,0
CHIA2,,,57.616666666667,152.36666666667,48
CHKA2,,,61.466666666667,143.83333333333,1550
CHRA2,16,NGVD29,61.205278,149.895278,16
CHUA2,,,61.216666666667,151.63333333333,1540
CITA2,,,63.133333333333,149.45,1800
CJXA2,150,NGVD29,61.869444,158.111389,200
CKCA2,,,61.212222222222,152.35722222222,0
CKKA2,,,59.84155,154.379674,280
CKLA2,,,56.999166666667,153.54194444444,100
CLIA2,0,,60.218055555556,146.83055555556,0
CLKA2,1400,NGVD29,62.434444,151.409722,1400
CLTA2,,NGVD29,62.558611,150.233889,520
PATG,,,59.053333333333,160.395,12
COBA2,,,61.482778,144.453611,478
COCA2,450,NGVD29,60.479979,149.882711,450
COOA2,419.92,NGVD29,60.492778,149.807778,419.9
CORA2,0,,60.390833333333,149.69416666667,1200
CPAA2,,,60.182777777778,154.57583333333,250
CPBA2,,,53.852222222222,166.57277777778,0
CPCA2,,,61.413333333333,149.47027777778,82
CPLA2,,,60.333333333333,149.78333333333,0
CRBA2,0,,59.988888888889,151.0575,1247
CRTA2,,,62.166666666667,146.58333333333,2850
